status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
We now know what Rob Kardashian was doing right before he landed in the hospital.,Now We Know What Rob Kardashian Was Doing Before He Ended Up In Hospital,link,https://www.opposingviews.com/i/society/we-now-know-shocking-thing-rob-kardashian-was-doing-right-he-landed-hospital-bad-shape,12/29/16 15:30,71,81,8,49,4,8,3,5,2
"All this little girl wanted to do was go to bed on Christmas Eve and wake up the next morning to presents from Santa. Unfortunately for her, her father had other plans.Simple question: Does he deserve the death penalty?",Police Discover What Dad Did To Little Girl Who Was Excited For Christmas,link,https://www.opposingviews.com/i/society/crime/all-little-girl-wanted-do-was-go-bed-christmas-eve-and-wake-next-morning-presents,12/29/16 15:00,1415,312,342,316,1,12,1,339,746
"This NFL player was playing with his son on vacation when suddenly he slipped, hit his head, and died.",NFL Player Dead After Slipping And Hitting His Head,link,https://www.opposingviews.com/i/society/all-nfl-player-was-doing-was-playing-his-son-vacation-when-he-suddenly-slipped-hit-his,12/29/16 14:30,2724,133,1477,781,10,371,9,1545,8
"This man was pulled over and charged with a DUI, even after a test revealed there was no alcohol in his system at all. It's what they did find in his blood, however, that sent him behind bars.",DA Drops DUI Charge After 16 Months When They Learn What Was Really In Man's Blood,link,https://www.opposingviews.com/i/society/crime/man-was-pulled-over-and-charged-dui-even-after-test-revealed-there-was-no-alcohol,12/29/16 14:00,29,11,7,20,0,9,0,0,0
"Just when everyone thought the Hillary Clinton email scandal was over, there's been a major development. This could be bad.",Bad News For Hillary Clinton,link,https://www.opposingviews.com/i/politics/just-when-everyone-thought-hillary-clinton-email-scandal-was-over-theres-been-major,12/29/16 13:35,237,129,22,166,17,6,35,0,13
The entire Kardashian family just rushed to the hospital after the devastating news about Rob.,Rob Kardashian Rushed To The Hospital,link,https://www.opposingviews.com/i/society/entire-kardashian-family-just-rushed-hospital-after-devastating-news-about-rob,12/29/16 13:05,229,162,46,134,2,28,16,48,1
"When his daughter told him her grilled cheese tasted weird, Dad opened the sandwich up. That's when he saw the unforgivable ingredient the employees had added to her food.",Child Starts Uncontrollably Vomiting -- Then Dad Realizes What Servers Did To Food,link,http://www.americanow.com/story/health/2016/12/29/boy-starts-vomiting-food-shocking-reason,12/29/16 12:30,270,53,91,74,4,23,0,11,158
"Charlie Sheen says there's 1 more celebrity who should die before 2016 is up, and people are not happy about it.","Charlie Sheen Wishes This Celeb Would Die Before 2016 Ends, Sparks Outrage",link,https://www.opposingviews.com/i/social/charlie-sheen-says-theres-1-more-celebrity-who-should-die-2016-and-people-are-not-happy,12/29/16 11:30,1655,1428,281,766,90,62,331,34,372
Taylor Swift just treated a 96-year-old veteran to a very special surprise:,,video,https://www.facebook.com/opposingviews/videos/10154384321726051/,12/29/16 11:00,2409,59,415,2198,186,21,4,0,0
"This may look like a sweet Christmas photo at first, but once you take a closer glance, you'll see why some people are so outraged at the Hollywood star who posted it. Look closer.",Christmas Photo Posted By Hollywood Star Sparks Controversy; Look Closer (Photos),link,https://www.opposingviews.com/i/social/may-look-sweet-christmas-photo-first-glance-once-you-see-whats-wrong-it-youll-see-why-some,12/29/16 10:31,236,196,19,151,6,12,41,22,4
"This guy harassed Ivanka Trump while she was calmly sitting on a plane. Well, he just got some awful news.",Guy Who Harassed Ivanka Trump On Plane Gets Some Terrible News,link,https://www.opposingviews.com/i/society/thousands-sign-petition-calling-firing-ivanka-trumps-harasser,12/29/16 10:08,814,459,65,546,18,22,151,41,36
"One day after her daughter Carrie Fisher died, legendary actress Debbie Reynolds passed away. It was her revealing final words, however, that left her family completely speechless.",Debbie Reynolds' Final Words Left Her Family Speechless,link,https://www.opposingviews.com/i/society/one-day-after-her-daughter-carrie-fisher-died-legendary-actress-debbie-reynolds-passed,12/29/16 9:00,280,19,25,148,10,4,1,117,0
"This man was out on his boat making the rounds when he noticed something moving around in his trap. He quickly rushed over to get a closer look. As soon as he saw what hehad, he frantically dialed his wife's number.","Man Sees What He Pulled Out Of Water, Frantically Calls His Wife (Photos)",link,http://www.americanow.com/story/society/2016/10/26/man-sees-what-he-pulled-out-water-frantically-calls-his-wife-photos?fb=abc,12/29/16 8:30,170,5,41,135,6,29,0,0,0
"This 12-year-old girl is pregnant. Doctors were in disbelief when she showed up to the hospital, big belly and all, but there was no denying it. Then they learned who the father was.","Doctors Discover That 12-Year-Old Is Pregnant, Then Learn Who The Father Is",link,https://www.opposingviews.com/i/health/12-year-old-girl-pregnant-doctors-were-disbelief-when-she-showed-hospital-it-was-true-they?Fb=abc,12/29/16 8:00,562,54,141,159,3,7,2,82,309
A federal court just reopened Hillary Clinton's email investigation. Yes or no: Should Clinton face prosecution?,Federal Court Reopens Clinton Email Investigation,link,https://www.opposingviews.com/i/politics/federal-court-brings-clinton-email-investigation-back-life?fb=ov,12/29/16 1:15,7752,4287,980,6657,226,49,355,48,417
Texas is about to drug test welfare recipients. Good idea?,Texas Moves Towards Drug Testing Welfare Recipients,link,https://www.opposingviews.com/i/society/texas-introduces-welfare-drug-testing-bill?fb=ov,12/29/16 0:45,9908,1557,1549,9025,576,41,76,32,158
"Hillary Clinton just won Gallup's ""Most Admired Woman"" poll for the 21st time. Do you admire her?",Americans Name Hillary Clinton The Most Admired Woman In America,link,https://www.opposingviews.com/i/politics/hillary-clinton-wins-gallups-most-admired-woman-poll-21st-time?fb=ov,12/29/16 0:10,15488,13639,2317,8342,1100,143,3719,200,1984
President Obama was just voted the most admired man in America. Do you admire him?,New Gallup Poll: Obama Tops Trump As Most Admired Man In America,link,https://www.opposingviews.com/i/politics/obama-wins-gallups-most-admired-man-poll?fb=ov,12/28/16 23:35,1758,1326,251,965,222,16,418,15,122
A Texas police officer was caught on camera viciously body-slamming a 12-year-old girl to the ground. Here is the footage. Simple question: Should he be fired?,,video,https://www.facebook.com/opposingviews/videos/10154382655801051/,12/28/16 23:00,2787,4573,1636,1459,41,221,114,96,856
"This couple is fighting Islamophobia with coffee, donuts and good conversation with strangers:",,video,https://www.facebook.com/opposingviews/videos/10154382640186051/,12/28/16 22:25,351,240,78,284,36,5,5,2,19
This transgender teen has just one request for the world: Listen to her story.,,video,https://www.facebook.com/opposingviews/videos/10154380358356051/,12/28/16 22:00,954,779,242,678,143,12,18,57,46
President Obama says he would have handily defeated Donald Trump if he had run for president this year. Is he right? Or would Trump have beaten Obama just like he beat Clinton?,,video,https://www.facebook.com/opposingviews/videos/10154382615241051/,12/28/16 21:30,2253,2501,224,1147,92,14,828,5,167
"This woman ordered a meal from a local drive-thru with her 5-year-old son and her dog. When the cashier asked for money, she didn't have enough to pay. She started an argument that quickly escalated when she pulled out a gun. When the cashier tried to wrestle the gun from her, it went off. That's when things took a tragic turn.",Mom Pulls Gun After Refusing To Pay For Meal - A Minute Later There's Blood Everywhere,link,https://www.opposingviews.com/i/society/mom-accused-killing-dog-front-child-while-robbing-store,12/28/16 21:00,901,277,334,292,7,56,6,174,366
"A 6-year-old girl wearing just her underwear and crying her eyes out ran off the school bus and into her father's arms. Dad quickly went to the school and demanded answers. Now that he has them, he's even angrier.","Dad Sees 6-Year-Old Daughter Come Home In Just Her Underwear, Discovers What School Made Her Do",link,http://www.cookingpanda.com/story/trending/2016/12/27/dad-sees-6-year-old-daughter-come-home-just-her-underwear-discovers-what?fb=wt,12/28/16 20:30,730,57,131,191,2,20,0,115,402
"At first it looks like she's abandoning the love of her life. As it turns out, though, she had a secret she needed to share with them before they said their vows. Keep an eye on her hands.","Bride Walks Away From Groom While At Altar, Keep Your Eyes On Her Hands (Video)",link,http://www.americanow.com/story/society/2016/12/27/bride-surprises-groom-special-performance,12/28/16 20:00,182,2,36,150,23,7,2,0,0
"Every time he came to Walmart, this customer would always see the same employee wearing a hat with pins on it that made it clear he was a vet. It warmed his heart -- until the store made the vet take the hat off so people wouldn't get offended. When he returned to the store, the customer learned what happened and became upset. Then he saw what a Muslim woman was doing.","Man Says Walmart Disrespected Veteran, Then He Notices What Muslim Woman Is Doing",link,http://www.americanow.com/story/society/2016/12/28/walmart-disrespects-veteran-does-something-shocking-muslim,12/28/16 19:30,429,175,186,185,4,32,2,11,195
"This hulking bodybuilder saw an elderly woman working out at the gym. She wasn't bothering anyone. Still, he had a big problem with it -- and that's when he did something that left people disturbed.","Hulking Bodybuilder Sees Elderly Woman Working Out At Gym, Does Something Disturbing",link,https://www.opposingviews.com/i/society/bodybuilder-slammed-filming-elderly-woman-working-out-and-posting-mocking-video-her,12/28/16 19:00,493,284,69,113,5,6,2,42,325
